"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 15:17:33 EET 2022","Fri Nov 25 15:17:52 EET 2022","19008","Command line suite","Command line test","Basic.IBANKaydetTest","Basic.IBANKaydetTest","IBANKaydet","IBANKaydet","IBAN Kaydetme testi."
"passed","Fri Nov 25 17:24:41 EET 2022","Fri Nov 25 17:25:32 EET 2022","51842","Basic Suite","ttPay_POM","SemiVerified.YeniKisiOlusturduktanSonraParaGonderTest","SemiVerified.YeniKisiOlusturduktanSonraParaGonderTest","YeniKisiOlusturVeParaGonder","YeniKisiOlusturVeParaGonder","Yeni Kişi oluşturduktan sonra Para Gönderme senaryosu"
"passed","Fri Nov 25 15:29:01 EET 2022","Fri Nov 25 15:29:08 EET 2022","6514","Command line suite","Command line test","Login.ParolamiUnuttumTest","Login.ParolamiUnuttumTest","ParolamiUnuttum","ParolamiUnuttum","Parolamı Unuttum senaryosu."
"passed","Thu Nov 24 15:39:45 EET 2022","Thu Nov 24 15:40:23 EET 2022","38280","Default Suite","ttPay_POM","SemiVerified.ParaIsteTest","SemiVerified.ParaIsteTest","LoginAndClickParaIste","LoginAndClickParaIste","Para İsteme senaryosu."
"passed","Sat Nov 19 20:55:24 EET 2022","Sat Nov 19 20:55:30 EET 2022","6255","Default Suite","ttPay_POM","BasicT.KampanyalarTest","BasicT.KampanyalarTest","Step2","Step2","Kampanyaları görüntüleme testi."
"passed","Fri Nov 25 16:32:59 EET 2022","Fri Nov 25 16:33:43 EET 2022","44412","Basic Suite","ttPay_POM","Verified.KisidenParaIsteTest","Verified.KisidenParaIsteTest","KayitliKisidenParaIste","KayitliKisidenParaIste","Kayıtlı Kişiden Para İsteme senaryosu"
"passed","Fri Nov 25 15:24:12 EET 2022","Fri Nov 25 15:24:29 EET 2022","17681","Command line suite","Command line test","Basic.ParaIsteTest","Basic.ParaIsteTest","LoginAndClickParaIste","LoginAndClickParaIste","Para İsteme senaryosu."
"broken","Mon Nov 21 22:49:15 EET 2022","Mon Nov 21 22:49:15 EET 2022","20","Default Suite","ttPay_POM","Basic.KisiyeParaGonderTest","Basic.KisiyeParaGonderTest","setUp","setUp",""
"passed","Fri Nov 25 15:22:34 EET 2022","Fri Nov 25 15:22:53 EET 2022","18878","Command line suite","Command line test","Basic.KrediBankaKartiEkleTest","Basic.KrediBankaKartiEkleTest","KrediBankaKartiEkle","KrediBankaKartiEkle","Kredi Banka Kartı Ekleme testi."
"broken","Fri Nov 25 15:56:29 EET 2022","Fri Nov 25 15:56:45 EET 2022","15749","Command line suite","Command line test","Verified.KampanyalarTest","Verified.KampanyalarTest","Step2","Step2","Kampanyaları görüntüleme testi."
